short_name,full_name,country
Purnava,Purnava Ltd.,Bangladesh
Quality Pharma,Quality Pharmaceuticals Ltd.,Bangladesh
Radiant Export Import Enterprise,Radiant Export Import Enterprise,Bangladesh
Radiant Nutraceuticals,Radiant Nutraceuticals Ltd.,Bangladesh
Radiant Pharma,Radiant Pharmaceuticals Ltd.,Bangladesh
Radius Pharma,Radius Pharmaceuticals Ltd.,Bangladesh
Rangs Pharma,Rangs Pharmaceuticals Ltd.,Bangladesh
Reckitt & Benckiser,Reckitt & Benckiser Ltd.,Bangladesh
Reliance Pharma,Reliance Pharmaceuticals Ltd.,Bangladesh
Reman Drug Laboratories,Reman Drug Laboratories Ltd.,Bangladesh
Remark HB,Remark HB Ltd.,Bangladesh
Renata,Renata PLC.,Bangladesh
Rephco Pharma,Rephco Pharmaceuticals Ltd.,Bangladesh
River Pharma,River Pharma,Bangladesh
RN Pharma,RN Pharmaceuticals,Bangladesh
Roche Bangladesh,Roche Bangladesh Ltd.,Bangladesh
Royal Pharma,Royal Pharmaceutical Ltd.,Bangladesh
S.N. Pharma,S.N. Pharmaceutical Ltd.,Bangladesh
Salton Pharma,Salton Pharmaceuticals Ltd.,Bangladesh
SANDOZ,SANDOZ (A Novartis Division),Bangladesh
Save Pharma,Save Pharmaceuticals Ltd.,Bangladesh
SB Laboratories,SB Laboratories Ltd.,Bangladesh
Seema Pharma,Seema Pharmaceuticals Ltd.,Bangladesh
SEKO Laboratories,SEKO Laboratories (Unani),Bangladesh
Servier,Servier Bangladesh Operation,Bangladesh
Sharif Pharma,Sharif Pharmaceuticals Ltd.,Bangladesh
SHINIL Pharma,SHINIL Pharma Ltd.,Bangladesh
Shuvro,Shuvro Ltd.,Bangladesh
Silco Pharma,Silco Pharmaceutical Ltd.,Bangladesh
Silva Pharma,Silva Pharmaceuticals Ltd.,Bangladesh
Skylab Pharma,Skylab Pharmaceuticals Ltd.,Bangladesh
SMC Enterprise,SMC Enterprise Ltd.,Bangladesh
Somatec Pharma,Somatec Pharmaceuticals Ltd.,Bangladesh
Sonear Laboratories,Sonear Laboratories Ltd.,Bangladesh
Square Pharma,Square Pharmaceuticals PLC.,Bangladesh
Sun Pharma Bangladesh,Sun Pharmaceutical (Bangladesh) Ltd.,Bangladesh
Sun Pharma,Sun Pharmaceutical Industries Ltd.,Bangladesh
Sunman-Birdem Pharma,Sunman-Birdem Pharma Ltd.,Bangladesh
Supreme Pharma,Supreme Pharmaceutical Ltd.,Bangladesh
Synovia Pharma,Synovia Pharma PLC.,Bangladesh
Syntho Laboratories,Syntho Laboratories Ltd.,Bangladesh
Team Pharma,Team Pharmaceuticals Ltd.,Bangladesh
Techno Drugs,Techno Drugs Ltd.,Bangladesh
The White Horse Pharma,The White Horse Pharmaceuticals Ltd.,Bangladesh
Total Herbal & Nutraceuticals,Total Herbal & Nutraceuticals,Bangladesh
Total Natural Company,Total Natural Company (Unani),Bangladesh
Ultra Pharma,Ultra Pharma Ltd.,Bangladesh
UNIDO Pharma,UNIDO Pharmaceuticals Ltd.,Bangladesh
UniHealth,UniHealth Ltd.,Bangladesh
UniMed UniHealth Pharma,UniMed UniHealth Pharmaceuticals Ltd.,Bangladesh
Union Pharma,Union Pharmaceuticals Ltd.,Bangladesh
Unique Pharma,Unique Pharmaceuticals Ltd.,Bangladesh
United Pharma,United Pharmaceuticals Ltd.,Bangladesh
Veritas Pharma,Veritas Pharmaceuticals Ltd.,Bangladesh
Virgo Pharma,Virgo Pharmaceuticals Ltd.,Bangladesh
Walmart pharma,Walmart pharma Ltd.,Bangladesh
West-Coast pharma,West-Coast pharmaceutical works ltd.,Bangladesh
ZAS Corporation,ZAS Corporation,Bangladesh
Zenith Pharma,Zenith Pharmaceuticals Ltd.,Bangladesh
Ziska Pharma,Ziska Pharmaceuticals Ltd.,Bangladesh
